,loss,auc,val_loss,val_auc,lr
0,0.7005619406700134,0.5071935653686523,0.6863541603088379,0.5176489353179932,9.999999974752427e-07
1,0.6570139527320862,0.5852212905883789,0.6066245436668396,0.7415510416030884,2.0900000890833326e-05
2,0.5765403509140015,0.7264841794967651,0.5304371118545532,0.8325554728507996,4.0800001443130895e-05
3,0.5206091403961182,0.8007138967514038,0.4605638086795807,0.8584207892417908,6.070000017643906e-05
4,0.48508715629577637,0.835096538066864,0.47800859808921814,0.8784096240997314,8.060000254772604e-05
5,0.47003814578056335,0.8466787934303284,0.43196558952331543,0.8920769691467285,0.0001005000012810342
6,0.46144184470176697,0.853145956993103,0.4481085240840912,0.9025099873542786,0.00012040000001434237
7,0.45083269476890564,0.8627973198890686,0.4166305661201477,0.9093729853630066,0.00014030000602360815
8,0.43227753043174744,0.8738781213760376,0.4207896888256073,0.9042664766311646,0.0001601999974809587
9,0.4198797345161438,0.8831042051315308,0.37444186210632324,0.9154828190803528,0.00018010000349022448
10,0.4080968499183655,0.890351414680481,0.3893517553806305,0.9126627445220947,0.00019999999494757503
11,0.39176061749458313,0.9009719491004944,0.3589518964290619,0.918002188205719,0.00019999999494757503
12,0.3699549436569214,0.9131413102149963,0.43241921067237854,0.9089414477348328,0.00019999999494757503
13,0.35089027881622314,0.9230057597160339,0.3899399936199188,0.9220607280731201,0.00010004999785451218
14,0.31680119037628174,0.9396084547042847,0.3416275978088379,0.9262582063674927,5.007499930798076e-05
15,0.2943557798862457,0.9493700265884399,0.3486025035381317,0.9267244935035706,2.508750003471505e-05
16,0.28171396255493164,0.9547812342643738,0.3569355905056,0.9284766912460327,1.2593750398082193e-05
17,0.2773391306400299,0.956458568572998,0.3556476831436157,0.9284156560897827,6.346875125018414e-06
18,0.2749273478984833,0.9574421644210815,0.3567698001861572,0.9284740090370178,3.2234374884865247e-06
19,0.27556514739990234,0.9568555355072021,0.35717105865478516,0.9278687834739685,1.6617187839074177e-06
20,0.2726283073425293,0.958120584487915,0.35607248544692993,0.9288163185119629,8.808593747744453e-07
21,0.2678845226764679,0.9599910974502563,0.3570927381515503,0.9287896156311035,4.904296702079591e-07
22,0.2642514109611511,0.9613552689552307,0.3570098876953125,0.9283016920089722,2.952148463464255e-07
23,0.2694295644760132,0.9595580101013184,0.35726556181907654,0.9286089539527893,1.9760742020480393e-07
24,0.2686534523963928,0.9592416882514954,0.35780519247055054,0.928311288356781,1.4880370713399316e-07
25,0.27301692962646484,0.9581405520439148,0.357607901096344,0.9283700585365295,1.2440185059858777e-07
26,0.2630019187927246,0.9616023898124695,0.3576873242855072,0.9282844066619873,1.1220092943631244e-07
27,0.27149319648742676,0.9587544202804565,0.3571065366268158,0.928136944770813,1.0610046530246109e-07
28,0.2728346586227417,0.9577882289886475,0.35732269287109375,0.9279013276100159,1.0305023323553542e-07
29,0.2706362307071686,0.9587552547454834,0.3571465313434601,0.9282466769218445,1.0152511720207258e-07
